ScreenName,Text,text
fikercenter,"في حال تدخل #إيران المباشر في #العراق فإن ذلك سيقلب اللعبة عليها، وسيضاعف من استنزافها، وهو استنزاف لايزال مستمراً في #سورية
#تنظيم_الدولة",في حال تدخل المباشر في فان ذلك سيقلب اللعبة عليها وسيضاعف من استنزافها وهو استنزاف لايزال مستمرا في
MohannaAlhubail,"كان دائما خط النصر لثورة #سوريا  والاقرب للحسم :
القوة المركزية للثورة + عمق تركيا وتسليحه + التنسيق للمشروع الوطني ولكنهم لا يريدونه!",كان دايما خط النصر لثورة والاقرب للحسم القوة المركزية للثورة عمق تركيا وتسليحه التنسيق للمشروع الوطني ولكنهم لا يريدونه
MohannaAlhubail,"@alomair1 @azizmutiri 
فكثير من النخب الفكرية اليسارية لاتشتغل اصلا بهذه القضية بل تقدم كفاح الشعوب لتحرير الانسان من القمع الدولي والمحلي=",فكثير من النخب الفكرية اليسارية لاتشتغل اصلا بهذه القضية بل تقدم كفاح الشعوب لتحرير الانسان من القمع الدولي والمحلي
amo110_,"السوريون وقفوا جميعا في جمعة كلنا جبهة النصرة
فالحديث عن دعمهم ع حساب الثورة غيرمنطقي
أماداعش الإجرامية فالقاعدة منها براء
@MohannaAlhubail",السوريون وقفوا جميعا في جمعة كلنا جبهة النصرة فالحديث عن دعمهم حساب الثورة غيرمنطقي اماداعش الاجرامية فالقاعدة منها براء
khalromih111,@MohannaAlhubail السؤال لماذا هربت من الأحساء ؟,السوال لماذا هربت من الاحساء
qatare34,"RT @MohannaAlhubail: ستطوى الأزمة الخليجية باي سيناريو، ويتذكر الناس كل خطاب خاض فيها:
فيقال عن البعض حشم نفسه، هو من بيت رباه على العلم ال…",ستطوى الازمة الخليجية باي سيناريو ويتذكر الناس كل خطاب خاض فيها فيقال عن البعض حشم نفسه هو من بيت رباه على العلم ال
fikercenter,"يرى كثير من المراقبين أن الإصرارالروسي التركي على إنجاح #أستانه يكشف حجم القواسم المشتركة بين الطرفين على خلاف الموقف الإيراني من ذلك
#سوريا",يرى كثير من المراقبين ان الاصرارالروسي التركي على انجاح يكشف حجم القواسم المشتركة بين الطرفين على خلاف الموقف الايراني من ذلك
Alqudaimi,إن فعل حزب الله ذلك، فليعلم أنه لن يدافع عنه أحد، لأنه قرر أن يكون حزباً مأجورا يعمل لتدمير وطنه من أجل حماية نظام قمعي. وأتمنى بحق ألا يفعل,ان فعل حزب الله ذلك فليعلم انه لن يدافع عنه احد لانه قرر ان يكون حزبا ماجورا يعمل لتدمير وطنه من اجل حماية نظام قمعي واتمنى بحق الا يفعل
MohannaAlhubail,RT @alwoozain: طفلة تحضر فصل دراسي عن بعد، بينما غنم العائلة ترعى حواليها في جبال شمال ايطاليا https://t.co/WO0pLlscMS,طفلة تحضر فصل دراسي عن بعد بينما غنم العايلة ترعى حواليها في جبال شمال ايطاليا
MohannaAlhubail,"مهنا الحبيل 
الجزيرة نت 

الفكر اليساري في ميزان الوعي الإسلامي

https://t.co/90LjOGMAH7",مهنا الحبيل الجزيرة نت الفكر اليساري في ميزان الوعي الاسلامي
salwa_alharbi,@MohannaAlhubail طيب هم قاعديين بعضهم بالفعل وآخرون بالدعم وآخرون بالتنظيروغسل أدمغة المراهقين والتسبب في مقتلهم,طيب هم قاعدين بعضهم بالفعل واخرون بالدعم واخرون بالتنظيروغسل ادمغة المراهقين والتسبب في مقتلهم
Alsharqinfo,"هنا تتضح الصورة، في وضع عُمان، بأنها تحت ضغط كماشة سياسية، تحرك فيها قضية مضيق هرمز الذي تحت سيادتها،
فهل التحرك لاستباق أي جهود قد تقودها عمان، لتعديل قواعد اللعبة في اليمن؟
#اليمن #عُمان #ابوظبي
مقال أ. مهنا الحبيل
للقراءة..

https://t.co/UG1GT6RmXQ https://t.co/f2zaxi9DPN",هنا تتضح الصورة في وضع عمان بانها تحت ضغط كماشة سياسية تحرك فيها قضية مضيق هرمز الذي تحت سيادتها فهل التحرك لاستباق اي جهود قد تقودها عمان لتعديل قواعد اللعبة في اليمن مقال مهنا الحبيل للقراءة
W3yqXFVkbKbNgAw,@aalodah ربي اقم الساعه وعز امتك من المذله والعار,ربي اقم الساعه وعز امتك من المذله والعار
MohannaAlhubail,"مع الأستاذ محمود الأحمر مخرج برنامج الرسالة اليوم على يساري و
أ علي الحربي احد مقدمي البرنامج قبيل بث… http://t.co/nj6Tk70O2V",مع الاستاذ محمود الاحمر مخرج برنامج الرسالة اليوم على يساري و ا علي الحربي احد مقدمي البرنامج قبيل بث
MohannaAlhubail,"#مهنا_الحبيل

#الخليج_أونلاين

الإثنين
22-6-2020
الرابط النفسي بين أزمة الخليج وليبيا

https://t.co/bTkcFXHV0m",الاثنين الرابط النفسي بين ازمة الخليج وليبيا
alboflasa,http://t.co/X0e0KuLiB8 مقال الاستاذ الكاتب مهنا الحبيل . يطرح حقيقية الاشكالية بين انعدام المرونة المطلوبة وبين واقع لابد ان يتغير للأفضل,مقال الاستاذ الكاتب مهنا الحبيل يطرح حقيقية الاشكالية بين انعدام المرونة المطلوبة وبين واقع لابد ان يتغير للافضل
EQulRJJmmDYKHCp,"@qahtani_s1 الشذوذ هو ترك الشواذ ليفعلوا ما شاؤوا 
فلا تحتقر ما تقدم أيها المسلم ولو بريتويت..

وعلى الفطريين في الأرض أن يعملوا على حفظ الفطرة
بمحاربة الشواذ بمسمياتهم المختلفة والمختلقة.",الشذوذ هو ترك الشواذ ليفعلوا ما شاووا فلا تحتقر ما تقدم ايها المسلم ولو بريتويت وعلى الفطرين في الارض ان يعملوا على حفظ الفطرة بمحاربة الشواذ بمسمياتهم المختلفة والمختلقة
fikercenter,"باستعراض جغرافية انتشار #كورونا يلاحظ تركز الكثافة في الدول الغربية وقلتها في دول شرق آسيا رغم كثافتها السكانية وتشابه طعام بعضها مع طعام الصين
 وقد يعود ذلك إلى حالة تكتم السلطات، أو ضعف التشخيص، أو محدودية فئة المسنين https://t.co/T1fhZjcCN0",باستعراض جغرافية انتشار يلاحظ تركز الكثافة في الدول الغربية وقلتها في دول شرق اسيا رغم كثافتها السكانية وتشابه طعام بعضها مع طعام الصين وقد يعود ذلك الى حالة تكتم السلطات او ضعف التشخيص او محدودية فية المسنين
salehsaed2030,"@aalodah تخسى يا الصعلوك
حنا نتنفس وعايشين بخير ونعمة من الله في ظل حكومتنا الرشيدة والصعاليك مكانهم السجون أو المنفى",تخسى يا الصعلوك حنا نتنفس وعايشين بخير ونعمة من الله في ظل حكومتنا الرشيدة والصعاليك مكانهم السجون او المنفى
Alghamdi_AA,"استقال #بوتفليقة بعد أن صمد الشعب لمدة ٦ أسابيع فقط والآن المهمة إسقاط الدولة العميقة قبل الاستقرار وهذا يحتاج للبقاء بالميادين وتحديد رموز الفساد وطردهم.. ولا تقعوا في فخ العسكر كالمصريين..

رسالة: هل رأيتم أن الحشود الكبيرة تسهل إسقاط الطغاة فتعالوا ندعُ لها في بلاد الحرمين.",استقال بعد ان صمد الشعب لمدة اسابيع فقط والان المهمة اسقاط الدولة العميقة قبل الاستقرار وهذا يحتاج للبقاء بالميادين وتحديد رموز الفساد وطردهم ولا تقعوا في فخ العسكر كالمصرين رسالة هل رايتم ان الحشود الكبيرة تسهل اسقاط الطغاة فتعالوا ندع لها في بلاد الحرمين
fikercenter,"تعد ازمة العقوبات الامريكية من اعقد الازمات في تاريخ العلاقة بين #واشنطن و #انقره
فما هي الاسباب الفعلية وراء القرار الامريكي ؟
https://t.co/4syaUW6rge 
#الليرة_التركية
#تركيا https://t.co/IBzAKLsVc4",تعد ازمة العقوبات الامريكية من اعقد الازمات في تاريخ العلاقة بين فما هي الاسباب الفعلية وراء القرار الامريكي
fikercenter,"ثانياً: القيمة المعنوية:
- تُنشر البحوث الفائزة بالجائزة على موقع المركز أو في أحد منشوراته الأخرى.
#جائزة_مركز_صناعة_الفكر_للأبحاث_2017",ثانيا القيمة المعنوية تنشر البحوث الفايزة بالجايزة على موقع المركز او في احد منشوراته الاخرى
fjmss,"@MohannaAlhubail وش هالتضخيم ! ! 
وش هالتفكير الخادع للقارئ ؟!  قال موقف الدوحه وانقره 
هزلت من مواقف .
دام هذا تفكريك وكتابتك 
ينطبق عليك شطر خلف بن هذال 
ضايع وماتقضي من العمر ضايع",وش هالتضخيم وش هالتفكير الخادع للقاري قال موقف الدوحه وانقره هزلت من مواقف دام هذا تفكريك وكتابتك ينطبق عليك شطر خلف بن هذال ضايع وماتقضي من العمر ضايع
vip00000010,"@aalodah @mu7aqiq20 ههههه المضحك في الموضوع سلمان العودة يدعو شباب المسلمين على الجهاد و ابنه لا يجاهد مع المسلمين
نعم هذه هي القصة الحقيقة للأخونجية كيف يتم قتل المسلمين بالمسلمين نفسهم",facewithtearsofjoy المضحك في الموضوع سلمان العودة يدعو شباب المسلمين على الجهاد ابنه لا يجاهد مع المسلمين نعم هذه هي القصة الحقيقة للاخونجية كيف يتم قتل المسلمين بالمسلمين نفسهم
Mustfaalsyed3,@aalodah اللهم امين,اللهم امين
fikercenter,"@sbhankyarb @Mustafa400 
مرحباً وائل
نعم شاركنا وسوف نشارك في معارض قادمه ان شاء الله",مرحبا وايل نعم شاركنا وسوف نشارك في معارض قادمه ان شاء الله
kkk_kkk7,@MohannaAlhubail @mh_awadi ذبحححكم خطاب الزعيم القائد عبدالفتاح السيسي الله ينصره يارب,ذبححكم خطاب الزعيم القايد عبدالفتاح السيسي الله ينصره يارب
to_when,@Alqudaimi لا أبد خير ان شاء الله,لا ابد خير ان شاء الله
aalodah,"شهادة السفير السعودي السابق في مصر.. حول الرئيس الشهيد #محمد_مرسي رحمه الله رحمة واسعة 
 https://t.co/qZjQ8H43uD",شهادة السفير السعودي السابق في مصر حول الرييس الشهيد رحمه الله رحمة واسعة
bodysherif87,RT @aalodah: تفصلنا فقط عدة ساعات على محاكمة الوالد السرّية التي يطالب فيها المدعي العام بالقتل تعزيراً بسبب نشاط الوالد العلمي السلمي العل…,تفصلنا فقط عدة ساعات على محاكمة الوالد السرية التي يطالب فيها المدعي العام بالقتل تعزيرا بسبب نشاط الوالد العلمي السلمي العل
aboneef1,"@Alqudaimi @HRSTA9811 
ولكن هناك من تسيد على الأخر الى يومنا هذا",ولكن هناك من تسيد على الاخر الى يومنا هذا
MEMatar,@Alqudaimi ثقة وتجربة حزب الله مع بشار ونظامه، وقراءته للدعم القطري للثوار هو ما يدفعه للاصطفاف مع النظام ضد الثورة. لا طائفية في الموضوع,ثقة وتجربة حزب الله مع بشار ونظامه وقراءته للدعم القطري للثوار هو ما يدفعه للاصطفاف مع النظام ضد الثورة لا طايفية في الموضوع
fikercenter,"يعتبر التعاون الاقتصادي بين #إيران والخليج أحد أهم عوامل التقارب بين الجانبين بدا ذلك في الحفاظ على سوق #النفط الدولي
http://t.co/IXdvBLbFRi",يعتبر التعاون الاقتصادي بين والخليج احد اهم عوامل التقارب بين الجانبين بدا ذلك في الحفاظ على سوق الدولي
Khadija80689710,"RT @aalodah: اشتمّ رائحة القميص وطالما...
هطل القميص على العيون وبشّرا..

*م. ع. https://t.co/VmZMDNMauB",اشتم رايحة القميص وطالما هطل القميص على العيون وبشرا م
Bkhalil_23,"محاضرة بعنوان "" مع النبي.. قراءة ثقافية معاصرة للسيرة النبوية ""؟ 
للباحث مهنا الحبيل

https://t.co/o3iBOiDQSQ",محاضرة بعنوان مع النبي قراءة ثقافية معاصرة للسيرة النبوية للباحث مهنا الحبيل
fikercenter,"تمتلك #فرنسا قدرة عالية على المناورات بحكم سياستها البراغماتية في المنطقة العربية فقد امتنعت من تصنيف #حزب_الله كحركة إرهابية، ولها قدرة التأثير على مختلف الاطراف بلبنان وتمرير أهدافها وسياساتها من خلال استغلال الاضطرابات 
https://t.co/Vl4sOxzRMB 

#ماكرون https://t.co/iPka1jmPnk",تمتلك قدرة عالية على المناورات بحكم سياستها البراغماتية في المنطقة العربية فقد امتنعت من تصنيف كحركة ارهابية ولها قدرة التاثير على مختلف الاطراف بلبنان وتمرير اهدافها وسياساتها من خلال استغلال الاضطرابات
ObaidDh,"🌟 من الدراسات المميزة ، طُبع في ثلاثة أجزاء :
١- فقه التحضر الإسلامي .
٢- عوامل الشهود الحضاري .
٣- مشاريع الإشهاد الحضاري . https://t.co/cPt6bu9vum",من الدراسات المميزة طبع في ثلاثة اجزاء فقه التحضر الاسلامي عوامل الشهود الحضاري مشاريع الاشهاد الحضاري
aalodah,"في كل جمعة مثل #جمعة_المعتقلين4 تكون اعتقالات جديدة وشخصيات مختلفة، ووجوه جديدة للقمع والإرهاب الأمني..
وحسبنا الله ونعم الوكيل",في كل جمعة مثل تكون اعتقالات جديدة وشخصيات مختلفة ووجوه جديدة للقمع والارهاب الامني وحسبنا الله ونعم الوكيل
Ahlemik,@aalodah يا ويلهم من الله,يا ويلهم من الله
sarafruw,@qahtani_s1 الأهم أن لا نألفه حتى نتجاهله! فإن ألفناه ألفوه أبناءنا، وأن يبقى هذا الوعي بخطورته، وأهمية توضيح دور الإعلام في صناعة أخلاق، وأن نستمر بالكلمة. فذلك خيرٌ من الصمت والاستسلام,الاهم ان لا نالفه حتى نتجاهله فان الفناه الفوه ابناءنا وان يبقى هذا الوعي بخطورته واهمية توضيح دور الاعلام في صناعة اخلاق وان نستمر بالكلمة فذلك خير من الصمت والاستسلام
qatari77abo,RT @MohannaAlhubail: من نافلة القول، أنك من أهم الأقلام التي وقفت مع حرية الشعوب ودولة الحقوق والكرامة في الربيع العربي، يشهد لك كفاحك الصح…,من نافلة القول انك من اهم الاقلام التي وقفت مع حرية الشعوب ودولة الحقوق والكرامة في الربيع العربي يشهد لك كفاحك الصح
qJ7nd3SlAPZq4Dn,@aalodah ربي يفك اسره ويجازي اللي عمل فيه بالمثل .. جبروت الانسان يظن انه مخلد وينسى ان الحساب فالدنيا والآخرة,ربي يفك اسره ويجازي اللي عمل فيه بالمثل جبروت الانسان يظن انه مخلد وينسى ان الحساب فالدنيا والاخرة
CANCONSULTANCY,"عدم الاستخفاف بأي مساحة للمقاومة نستطيعها؛ يعني الابقاء على شعلة قضية #فلسطين حيّة تتوارثها الأجيال...
#مهنا_الحبيل
#عربيٌ_ضد_التطبيع https://t.co/P9qFwQ9b0I",عدم الاستخفاف باي مساحة للمقاومة نستطيعها يعني الابقاء على شعلة قضية حية تتوارثها الاجيال
1433Com,@Alqudaimi غريبه من الإمارات دايما نسمع عنهم إنهم ديمقراطيين ومتآلفين ماسبب الإعتقال هذا,غريبه من الامارات دايما نسمع عنهم انهم ديمقراطين ومتالفين ماسبب الاعتقال هذا
smorh9,"@MohannaAlhubail سهام الليل لاتخطيء ولكن 
لها أمد وللأمد إنقضاء(فرج الله كربتهم ونصرهم على من ظلمهم)",سهام الليل لاتخطيء ولكن لها امد وللامد انقضاءفرج الله كربتهم ونصرهم على من ظلمهم
fikercenter,"#كورونا .. مؤشرات يفرضها على المستوى العالمي
https://t.co/loD2u5IbQW
#كورونا https://t.co/MbtnFGDRaB",موشرات يفرضها على المستوى العالمي
I_MRSALMAN,"حسن نصر الشيطان ترحم على الجزارين ولم يترحم على الاطفال والعجزة والنساء. هل تريدون أثبات اكثر من هذا
#Assad
@naif66666
@MohanaAlhubail",حسن نصر الشيطان ترحم على الجزارين ولم يترحم على الاطفال والعجزة والنساء هل تريدون اثبات اكثر من هذا
fikercenter,"المقاربة ""الوظيفية "" للصوفية لا تأخذ في الغالب موقفاً نقديّاً من مسألة انحسار الدين وفصله عن الدولة، أو سياسات التدرج والانتقائية في التطبيق",المقاربة الوظيفية للصوفية لا تاخذ في الغالب موقفا نقديا من مسالة انحسار الدين وفصله عن الدولة او سياسات التدرج والانتقايية في التطبيق
AhmadAleAhmad1,"@MohannaAlhubail @ismail_yasa كنا لكم حطبا في كل نازلة فلا تكونوا لنا حمالة الحطبِ
الى متى تريدون ان لانعيش بسلام ياانصاف العرب ؟!!",كنا لكم حطبا في كل نازلة فلا تكونوا لنا حمالة الحطب الى متى تريدون ان لانعيش بسلام ياانصاف العرب
MohannaAlhubail,"@sultanalfraaj 
ولذلك قلنا وزراء المجلس المنتخب اي ان التعيين يكون في وزارات التنمية والعدل من المنتخبين وهنا يفترض ان لاتُسقط قرارت الإصلاح",ولذلك قلنا وزراء المجلس المنتخب اي ان التعين يكون في وزارات التنمية والعدل من المنتخبين وهنا يفترض ان لاتسقط قرارت الاصلاح
Jihadsan,"@MohannaAlhubail مع الكتب...
قراءة من كتاب ""أسئلة الثورة"" 
#سلمان_العودة",مع الكتب قراءة من كتاب اسيلة الثورة
ahmad_ghzal,@MohannaAlhubail هذا دليل قطعي أن كثيرين ممن يعيشون في العالم الأكثر تطورا لم يطوروا تفكيرهم ليرتقي و يتسع أفقه فيرى كليات الأمور و يسعى إلى ما يجمع لا إلى ما يفرق و يطلب مقاصد الشريعة فلا يغرق في فروع فروع الفقه..,هذا دليل قطعي ان كثيرين ممن يعيشون في العالم الاكثر تطورا لم يطوروا تفكيرهم ليرتقي يتسع افقه فيرى كليات الامور يسعى الى ما يجمع لا الى ما يفرق يطلب مقاصد الشريعة فلا يغرق في فروع فروع الفقه
fikercenter,"#الانتخابات_الماليزية

ما أسباب فوز تحالف الأمل حديث التشكل، وخسارة تحالف الجبهة الوطنية بعد 6 عقود من الحكم المستمر؟
 وإلى أي مدي سينجح الحليفان؛ مهاتير وأنور إبراهيم، في التوافق والاستمرار في الحكم خلال الفترة المقبلة؟

https://t.co/w0bGSPf3k4
#ماليزيا https://t.co/JvkZTnM9ZD",ما اسباب فوز تحالف الامل حديث التشكل وخسارة تحالف الجبهة الوطنية بعد عقود من الحكم المستمر والى اي مدي سينجح الحليفان مهاتير وانور ابراهيم في التوافق والاستمرار في الحكم خلال الفترة المقبلة
aalodah,"اليوم كان حفل تخرجي من جامعة بيتسبرغ لدرجة الدكتوراة في القانون الدستوري المقارن.. والحمدلله..
وداعاً بيتسبرغ الجميلة https://t.co/zqsGqIPPaF",اليوم كان حفل تخرجي من جامعة بيتسبرغ لدرجة الدكتوراة في القانون الدستوري المقارن والحمدلله وداعا بيتسبرغ الجميلة
MohannaAlhubail,شباب اليسار العربي اليوم ليس نسخ تطوير من هياكل اليسار البائس..هي صناعة جديدة تتعاطى مع مفاهيم الحياة والدين والانسان والحرية بلا ازمة نفسية,شباب اليسار العربي اليوم ليس نسخ تطوير من هياكل اليسار البايسهي صناعة جديدة تتعاطى مع مفاهيم الحياة والدين والانسان والحرية بلا ازمة نفسية
saraqaed,بالمناسبة..الأستاذ مهنا الحبيل كان ممن دعو لكنفدرالية منذ 1993 في الوقت الذي كنا نشاخر فيه..!! #الغاء_ارامكو_توقيع_كتاب_البحرين_للحبيل,بالمناسبةالاستاذ مهنا الحبيل كان ممن دعو لكنفدرالية منذ في الوقت الذي كنا نشاخر فيه
fikercenter,"سارعت #امريكا باحتواء الحالة في اليمن وتأييد السعودية بهدف الحفاظ على #الحوثيين ليكونوا ورقة ضغط على الرياض وإضعافها
https://t.co/UYYIPQqb4o",سارعت باحتواء الحالة في اليمن وتايد السعودية بهدف الحفاظ على ليكونوا ورقة ضغط على الرياض واضعافها
fikercenter,"#صدر_عن_المركز_2018

#تقدير_موقف :
العقوبات الأمريكية على تركيا وأثرها على العلاقة بين البلدين
https://t.co/a5GKJcaFKY",العقوبات الامريكية على تركيا واثرها على العلاقة بين البلدين
Smart_G0,"RT @aalodah: الذباب الذي يقول لك ""خاشقجي شخص واحد، أين أنتم عن شعوب..""
هو نفسه الذي يضع يده مع الاحتلال ضد غزة والضفة، ويؤيد سحق اليمن، ويز…",الذباب الذي يقول لك خاشقجي شخص واحد اين انتم عن شعوب هو نفسه الذي يضع يده مع الاحتلال ضد غزة والضفة ويويد سحق اليمن ويز
Rayamoe,"RT @aalodah: اعملوا ريتويت لهذه التغريدة! 
#لاتقتلوا_سلمان_العودة",اعملوا ريتويت لهذه التغريدة
Almunzer33,"مئات العائلات الهاربة من القصف الإجرامي من ريف إدلب الجنوبي
 بدون مأوى
حسبنا الله ونعم الوكيل https://t.co/c4jx6eqgu4",ميات العايلات الهاربة من القصف الاجرامي من ريف ادلب الجنوبي بدون ماوى حسبنا الله ونعم الوكيل
OmarFay98687738,@aalodah اللهم فرج عنه و عن جميع المعتقلين قريبا عاجلا غير آجل,اللهم فرج عنه عن جميع المعتقلين قريبا عاجلا غير اجل
Alsharqinfo,"""مأساة الوطن العربي اليوم تُسفر عن دلالة سياسية وفكرية تاريخية..
بأن نُظم الاستبداد لا تُقدّم إلا مزيدا من الضعف والهوان لأرض المواطن العربي وكرامته""

آخر مقالات الباحث العربي المستقل/أ. مهنا الحبيل
#العرب مابعد اسقاط الربيع..الغُبن السياسي
العربي الجديد
https://t.co/bq62G6OmAy https://t.co/6IoFMjapWE",ماساة الوطن العربي اليوم تسفر عن دلالة سياسية وفكرية تاريخية بان نظم الاستبداد لا تقدم الا مزيدا من الضعف والهوان لارض المواطن العربي وكرامته اخر مقالات الباحث العربي المستقلا مهنا الحبيل مابعد اسقاط الربيعالغبن السياسي العربي الجديد
Arafat_F,@MohannaAlhubail @ahmadabosalem مطلوب مواجة الانظمة الحاكمة أن الشعوب ليسوا عبيدا لهم.,مطلوب مواجة الانظمة الحاكمة ان الشعوب ليسوا عبيدا لهم
ifahadwat,@aalodah هههههههههه يزعمون انها له !! انت تدري انها له وأصغر واحد بالسعودية يدري أنها له بطّل استغباء 😁,facewithtearsofjoy يزعمون انها له انت تدري انها له واصغر واحد بالسعودية يدري انها له بطل استغباء
Shogalsayyar,@qahtani_s1 الحمدلله الذي عافانا مما ابتلاهم وفضلنا على كثيرٍ منهم تفضيلا🤲🏾,الحمدلله الذي عافانا مما ابتلاهم وفضلنا على كثير منهم تفضيلا
MohannaAlhubail,"وهذه القصة كتبتها لأجلهم ..
http://t.co/lydFIk4npS
@MAL_Omari @sultanalothaim",وهذه القصة كتبتها لاجلهم
ahmed_19M,"@aalodah ولماذا لاتدعي لمن ذهب بهم والدك بتحريضه الي طريق الضياع ويتم أطفالهم وأحرق قلوب أمهاتهم !! 
ماذا قدم للعالم الإسلامية ؟! 
تحريض الابناء للجهاد وفرح بقتل الأبرياء في الثورات الكذابه !!
شحاذة التغريدات لن تفيد فالأدلة واضحة ومثبته،
أما حقوقه في السجن فيأخذها كما كفلها القانون له.",ولماذا لاتدعي لمن ذهب بهم والدك بتحريضه الي طريق الضياع ويتم اطفالهم واحرق قلوب امهاتهم ماذا قدم للعالم الاسلامية تحريض الابناء للجهاد وفرح بقتل الابرياء في الثورات الكذابه شحاذة التغريدات لن تفيد فالادلة واضحة ومثبته اما حقوقه في السجن فياخذها كما كفلها القانون له
MohannaAlhubail,"الحساب للناشط المصري عبد الرحمن عز 
@Abdurrahmanezz  
من شباب الثورة ومؤيّد لمرسي ويقدم  تغريدات ومواقف الطرف المخالف لخصوم الرئيس 
#egypt",الحساب للناشط المصري عبد الرحمن عز من شباب الثورة ومويد لمرسي ويقدم تغريدات ومواقف الطرف المخالف لخصوم الرييس
Alqudaimi,@mahaalotaibe شكراً جزيلاً,شكرا جزيلا
batata054,@Alqudaimi حرام ياخي واحد مثلك بثقافتك الكبيرة مختفي في الاعلام وغيرك لا يفقهون شي كل يوم في الشاشات ولم يضيفون لنا شي,حرام ياخي واحد مثلك بثقافتك الكبيرة مختفي في الاعلام وغيرك لا يفقهون شي كل يوم في الشاشات ولم يضيفون لنا شي
fikercenter,"RT @fikercenter: سعت الولايات المتحدة في سياستها بمنطقة الشرق الاوسط لتوريط الجميع في الصراعات حتى الإنهاك 
#الشرق_الأوسط https://t.co/91Tz…",سعت الولايات المتحدة في سياستها بمنطقة الشرق الاوسط لتوريط الجميع في الصراعات حتى الانهاك
fikercenter,"تراجع الدور الفرنسي في المنطقة في السنوات الاخيرة  كان لعدة اسباب منها تنامي الدور الأمريكي ، والسياسة الانعزالية لبعض الرؤساء الفرنسين وكذلك التحديات المتسارعة التي شهدتها المنطقة 
#فرنسا #الشرق",تراجع الدور الفرنسي في المنطقة في السنوات الاخيرة كان لعدة اسباب منها تنامي الدور الامريكي والسياسة الانعزالية لبعض الروساء الفرنسين وكذلك التحديات المتسارعة التي شهدتها المنطقة
fikercenter,"لقد كانت المشاركة المصرية المتواضعة من بين الأسباب التي تقف وراء طول أمد الحرب وتعقيد إنجاز الأهداف المعلنة مع بدء ""#عاصفة_الحزم""
#السعودية",لقد كانت المشاركة المصرية المتواضعة من بين الاسباب التي تقف وراء طول امد الحرب وتعقيد انجاز الاهداف المعلنة مع بدء
Alsharqinfo,"روابط سلسلة  مقالات  #مهنا_الحبيل 
ورؤيته عن #الأزمة_الخليجية 
6/الخليج العربي مابعد الأزمة..مخزون عمان الإستراتيجي 
https://t.co/mnXkPQdt9G https://t.co/SPJetsN4HC",روابط سلسلة مقالات ورويته عن الخليج العربي مابعد الازمةمخزون عمان الاستراتيجي
humaid3990,"@MohannaAlhubail كلام جميل استاذ مهنا ونابع من داخلك النقي ويدل على غيرتك لعروبتك وعلى الكيان الخليجي الذي نتمناه ان يعود كما عهدنا واكثر .
فالبيت واحد ولا يجوز هدمه وتفكيكه وزرع العداوة والبغضاء بين اهله فنحن كعمانيين نتمنى ان يرجع البيت الخليجي الى سابق عهده .

أحييك اخي الكريم .",كلام جميل استاذ مهنا ونابع من داخلك النقي ويدل على غيرتك لعروبتك وعلى الكيان الخليجي الذي نتمناه ان يعود كما عهدنا واكثر فالبيت واحد ولا يجوز هدمه وتفكيكه وزرع العداوة والبغضاء بين اهله فنحن كعمانين نتمنى ان يرجع البيت الخليجي الى سابق عهده احيك اخي الكريم
MohannaAlhubail,"نحيي خطوة سمو امير #الكويت لهذه المبادرة للاصلاح الوطني و 
#عودة_الجناسي
والدعاء بكل التوفيق للم شمل الأسرة الوطنية ومسيرة الاصلاح والوحدة",نحي خطوة سمو امير لهذه المبادرة للاصلاح الوطني والدعاء بكل التوفيق للم شمل الاسرة الوطنية ومسيرة الاصلاح والوحدة
fadel_fatimah,@MohannaAlhubail ليت طلاب العلم يفهمون ويفعلون,ليت طلاب العلم يفهمون ويفعلون
ablay17,RT @aalodah: اللهم أعدْ هذا الشيخ الستيني الفاضل سلمان العودة.. إلى هذه الصغيرة (لدن) وإلينا جميعاً وإلى محبيه وإلى العالم العربي والإسلامي…,اللهم اعد هذا الشيخ الستيني الفاضل سلمان العودة الى هذه الصغيرة لدن والينا جميعا والى محبيه والى العالم العربي والاسلامي
Alk69430848,@aalodah يجب عليك تتحلا بمرونه من اجل مصلحت والدك الحياة تتطلب إلى حكمه في بعض الأمور وأنت يجب عليك تستغلها...والفرج بيد الله اطلب منه العون ولاتنظر إلى المناكفات,يجب عليك تتحلا بمرونه من اجل مصلحت والدك الحياة تتطلب الى حكمه في بعض الامور وانت يجب عليك تستغلهاوالفرج بيد الله اطلب منه العون ولاتنظر الى المناكفات
MohannaAlhubail,"إن كنت جادا في النقد، فارجع لما كتبناه في زمن اليقظة، والتفصيل الذي عرضنا له، عن الفكر السلفي وتوجهاته. 
وكيف استخدمت السلفية الطائفية المناهضة للعالم السني، والتي استّثمرت أصولها الجامية بناء على قواعد مشتركة. 

وهدم الاستبداد لبعض حصونها، أو تهجين بعضها
لا يسقط النقد العلمي لها",ان كنت جادا في النقد فارجع لما كتبناه في زمن اليقظة والتفصيل الذي عرضنا له عن الفكر السلفي وتوجهاته وكيف استخدمت السلفية الطايفية المناهضة للعالم السني والتي استثمرت اصولها الجامية بناء على قواعد مشتركة وهدم الاستبداد لبعض حصونها او تهجين بعضها لا يسقط النقد العلمي لها
